Gender,age,sibsp,parch,fare,embarked,class,who,alone,survived
0,37,1,1,52.5542,S,First,man,FALSE,1
0,54,1,0,26,S,Second,man,FALSE,0
0,,0,0,7.25,S,Third,man,TRUE,0
1,29,1,1,10.4625,S,Third,woman,     FALL,0
0,62,0,0,26.55,S,First,man,TRUE,0
0,30,1,0,16.1,S,Third,man,FALSE,0
1,41,0,2,20.2125,S,Third,woman,    FALL,0
1,29,0,2,15.2458,C,Third,woman,FALSE,1
1,,0,0,79.2,C,First,woman,TRUE,1
1,30,0,0,86.5,S,First,woman,    FALL,1
1,35,0,0,512.3292,C,First,woman,TRUE,1
1,50,0,1,26,S,Second,woman,FALSE,1
0,,0,0,7.75,Q,,man,TRUE,0
0,3,4,2,31.3875,S,Third,child,FALSE,1
0,52,1,1,79.65,S,First,man,FALSE,0
0,40,0,0,0,S,First,man,TRUE,0
1,,0,0,7.75,Q,Third,woman,TRUE,0
0,36,0,0,10.5,S,Second,man,TRUE,0
0,16,4,1,39.6875,S,Third,man,FALSE,0
0,25,1,0,7.775,S,Third,man,FALSE,1
1,58,0,1,153.4625,S,First,woman,FALSE,1
1,35,0,0,135.6333,S,First,woman,TRUE,1
0,,0,0,31,S,First,man,TRUE,0
0,25,0,0,0,S,Third,man,TRUE,1
1,41,0,1,19.5,S,Second,woman,FALSE,1
0,37,0,1,29.7,C,First,man,FALSE,0
1,,0,0,7.75,Q,Third,woman,TRUE,1
1,63,1,0,77.9583,S,First,woman,FALSE,1
1,45,0,0,7.75,S,Third,woman,TRUE,0
,,0,0,0,S,,man,TRUE,0
0,7,4,1,29.125,Q,Third,child,FALSE,0
1,35,1,1,20.25,S,Third,woman,FALSE,1
0,65,0,0,7.75,Q,Third,man,TRUE,0
,28,0,0,7.8542,S,Third,man,TRUE,0
0,16,0,0,9.5,S,Third,man,TRUE,0
0,19,0,0,8.05,S,Third,man,TRUE,1
0,,0,0,26,S,First,man,TRUE,0
0,33,0,0,8.6625,C,Third,man,TRUE,0
0,30,0,0,9.5,S,Third,man,TRUE,1
0,22,0,0,7.8958,S,Third,man,TRUE,0
0,42,0,0,13,S,Second,man,TRUE,1
,22,0,0,7.75,Q,Third,woman,TRUE,1
1,26,0,0,78.85,S,First,woman,TRUE,1
1,19,1,0,91.0792,C,First,woman,FALSE,1
0,36,0,0,12.875,C,Second,man,TRUE,0
1,24,0,0,8.85,S,Third,woman,TRUE,0
0,150,0,0,7.8958,S,Third,man,TRUE,0
0,,0,0,27.7208,C,First,man,TRUE,0
0,23.5,0,0,7.2292,C,Third,man,TRUE,0
1,2,1,2,151.55,S,First,child,FALSE,0
0,,0,0,30.5,S,First,man,TRUE,1
1,50,0,1,247.5208,C,First,woman,FALSE,1
,,0,0,7.75,Q,Third,woman,TRUE,1
0,200,2,0,23.25,Q,Third,man,FALSE,1
0,19,0,0,0,S,Third,man,TRUE,0
1,,0,0,12.35,Q,,woman,TRUE,1
0,,0,0,8.05,S,Third,man,TRUE,0
0,0.92,1,2,151.55,S,First,child,FALSE,1
1,,0,0,110.8833,C,First,woman,TRUE,1
1,17,1,0,108.9,C,First,woman,FALSE,1
0,30,1,0,24,C,Second,man,FALSE,0
1,30,0,0,56.9292,C,First,woman,TRUE,1
1,24,0,0,83.1583,C,First,woman,TRUE,1
1,18,2,2,262.375,C,,woman,FALSE,1
1,26,1,1,26,S,Second,woman,FALSE,0
0,28,0,0,7.8958,S,Third,man,TRUE,0
0,43,1,1,26.25,S,Second,man,FALSE,0
1,26,0,0,7.8542,S,Third,woman,TRUE,1
1,24,1,0,26,S,Second,woman,FALSE,1
0,54,0,0,14,S,Second,man,TRUE,0
1,31,0,2,164.8667,S,First,woman,FALSE,1
1,40,1,1,134.5,C,First,woman,FALSE,1
0,22,0,0,7.25,S,Third,man,TRUE,0
0,27,0,0,7.8958,S,Third,man,TRUE,0
1,30,0,0,12.35,Q,Second,woman,TRUE,1
1,22,1,1,29,S,Second,woman,FALSE,1
0,,8,2,69.55,S,Third,man,FALSE,0
1,36,0,0,135.6333,C,First,woman,TRUE,1
0,61,0,0,6.2375,S,Third,man,TRUE,0
1,36,0,0,13,S,Second,woman,TRUE,1
1,31,1,1,20.525,S,Third,woman,FALSE,1
1,16,0,1,57.9792,C,First,woman,FALSE,1
1,,2,0,23.25,Q,Third,woman,FALSE,1
0,45.5,0,0,28.5,S,First,man,TRUE,0
0,38,0,1,153.4625,S,First,man,FALSE,0
0,16,2,0,18,S,Third,man,FALSE,0
1,,1,0,133.65,S,First,woman,FALSE,1
0,,0,0,7.8958,S,Third,man,TRUE,0
0,29,1,0,66.6,S,First,man,FALSE,0
1,41,0,0,134.5,C,First,woman,TRUE,1
0,45,0,0,8.05,S,Third,man,TRUE,1
0,45,0,0,35.5,S,First,man,TRUE,0
0,2,1,1,26,S,Second,child,FALSE,1
1,24,3,2,263,S,First,woman,FALSE,1
0,28,0,0,13,S,Second,man,TRUE,0
0,25,0,0,13,S,Second,man,TRUE,0
0,36,0,0,13,S,Second,man,TRUE,0
1,24,0,0,13,S,Second,woman,TRUE,1
1,40,0,0,13,S,Second,woman,TRUE,1
1,,1,0,16.1,S,Third,woman,FALSE,1
0,3,1,1,15.9,S,Third,child,FALSE,1
0,42,0,0,8.6625,S,Third,man,TRUE,0
0,23,0,0,9.225,S,Third,man,TRUE,0
0,,0,0,35,S,First,man,TRUE,0
0,15,1,1,7.2292,C,Third,child,FALSE,0
0,25,1,0,17.8,S,Third,man,FALSE,0
0,,0,0,7.225,C,Third,man,TRUE,0
0,28,0,0,9.5,S,Third,man,TRUE,0
1,22,0,1,55,S,First,woman,FALSE,1
1,38,0,0,13,S,Second,woman,TRUE,0
1,,0,0,7.8792,Q,Third,woman,TRUE,1
1,,0,0,7.8792,Q,Third,woman,TRUE,1
0,40,1,4,27.9,S,Third,man,FALSE,0
0,29,1,0,27.7208,C,Second,man,FALSE,0
1,45,0,1,14.4542,C,Third,woman,FALSE,0
0,35,0,0,7.05,S,Third,man,TRUE,0
0,,1,0,15.5,Q,Third,man,FALSE,0
0,30,0,0,7.25,S,Third,man,TRUE,0
1,60,1,0,75.25,C,First,woman,FALSE,1
1,120,0,0,7.2292,C,Third,woman,TRUE,1
1,,0,0,7.75,Q,Third,woman,TRUE,1
1,24,0,0,69.3,C,First,woman,TRUE,1
0,25,1,0,55.4417,C,First,man,FALSE,1
0,18,1,0,6.4958,S,Third,man,FALSE,0
0,19,0,0,8.05,S,Third,man,TRUE,0
0,22,0,0,135.6333,C,First,man,TRUE,0
1,3,3,1,21.075,S,Third,child,FALSE,0
1,,1,0,82.1708,C,First,woman,FALSE,1
1,22,0,0,7.25,S,Third,woman,TRUE,1
0,27,0,2,211.5,C,First,man,FALSE,0
0,20,0,0,4.0125,C,Third,man,TRUE,0
0,19,0,0,7.775,S,Third,man,TRUE,0
1,42,0,0,227.525,C,First,woman,TRUE,1
1,1,0,2,15.7417,C,Third,child,FALSE,1
0,32,0,0,7.925,S,Third,man,TRUE,0
1,35,1,0,52,S,First,woman,FALSE,1
0,,0,0,7.8958,S,Third,man,TRUE,0
0,18,0,0,73.5,S,Second,man,TRUE,0
0,1,5,2,46.9,S,Third,child,FALSE,0
1,36,0,0,13,S,Second,woman,TRUE,1
0,,0,0,7.7292,Q,Third,man,TRUE,0
1,17,0,0,12,C,Second,woman,TRUE,1
0,36,1,2,120,S,First,man,FALSE,1
0,21,0,0,7.7958,S,Third,man,TRUE,1
0,28,2,0,7.925,S,Third,man,FALSE,0
1,23,1,0,113.275,C,First,woman,FALSE,1
1,24,0,2,16.7,S,Third,woman,FALSE,1
0,22,0,0,7.7958,S,Third,man,TRUE,0
1,31,0,0,7.8542,S,Third,woman,TRUE,0
0,46,0,0,26,S,Second,man,TRUE,0
0,23,0,0,10.5,S,Second,man,TRUE,0
1,28,0,0,12.65,S,Second,woman,TRUE,1
0,39,0,0,7.925,S,Third,man,TRUE,1
0,26,0,0,8.05,S,Third,man,TRUE,0
1,21,1,0,9.825,S,Third,woman,FALSE,0
0,28,1,0,15.85,S,Third,man,FALSE,0
1,20,0,0,8.6625,S,Third,woman,TRUE,0
0,34,1,0,21,S,Second,man,FALSE,0
0,51,0,0,7.75,S,Third,man,TRUE,0
0,3,1,1,18.75,S,Second,child,FALSE,1
0,21,0,0,7.775,S,Third,man,TRUE,0
1,,3,1,25.4667,S,Third,woman,FALSE,0
0,,0,0,7.8958,S,Third,man,TRUE,0
0,,0,0,6.8583,Q,Third,man,TRUE,0
1,33,1,0,90,Q,First,woman,FALSE,1
0,,0,0,0,S,Second,man,TRUE,0
0,44,0,0,7.925,S,Third,man,TRUE,1
1,,0,0,8.05,S,Third,woman,TRUE,0
1,34,1,1,32.5,S,Second,woman,FALSE,1
1,18,0,2,13,S,Second,woman,FALSE,1
0,30,0,0,13,S,Second,man,TRUE,0
1,10,0,2,24.15,S,Third,child,FALSE,0
0,,0,0,7.8958,C,Third,man,TRUE,0
0,21,0,0,7.7333,Q,Third,man,TRUE,0
0,29,0,0,7.875,S,Third,man,TRUE,0
1,28,1,1,14.4,S,Third,woman,FALSE,0
0,18,1,1,20.2125,S,Third,man,FALSE,0
0,,0,0,7.25,S,Third,man,TRUE,0
1,28,1,0,26,S,Second,woman,FALSE,1
1,19,0,0,26,S,Second,woman,TRUE,1
0,,0,0,7.75,Q,Third,man,TRUE,0
0,32,0,0,8.05,S,Third,man,TRUE,1
0,28,0,0,26.55,S,First,man,TRUE,1
1,,1,0,16.1,S,Third,woman,FALSE,1
1,42,1,0,26,S,Second,woman,FALSE,1
0,17,0,0,7.125,S,Third,man,TRUE,0
0,50,1,0,55.9,S,First,man,FALSE,0
1,14,1,2,120,S,First,child,FALSE,1
1,21,2,2,34.375,S,Third,woman,FALSE,0
1,24,2,3,18.75,S,Second,woman,FALSE,1
0,64,1,4,263,S,First,man,FALSE,0
0,31,0,0,10.5,S,Second,man,TRUE,0
1,45,1,1,26.25,S,Second,woman,FALSE,1
0,20,0,0,9.5,S,Third,man,TRUE,0
0,25,1,0,7.775,S,Third,man,FALSE,0
1,28,0,0,13,S,Second,woman,TRUE,1
0,,0,0,8.1125,S,Third,man,TRUE,1
0,4,0,2,81.8583,S,First,child,FALSE,1
1,13,0,1,19.5,S,Second,child,FALSE,1
0,34,0,0,26.55,S,First,man,TRUE,1
1,5,2,1,19.2583,C,Third,child,FALSE,1
0,52,0,0,30.5,S,First,man,TRUE,1
0,36,1,2,27.75,S,Second,man,FALSE,0
0,,1,0,19.9667,S,Third,man,FALSE,0
0,30,0,0,27.75,C,First,man,TRUE,0
0,49,1,0,89.1042,C,First,man,FALSE,1
0,,0,0,8.05,S,Third,man,TRUE,0
0,29,0,0,7.8958,C,Third,man,TRUE,1
0,65,0,0,26.55,S,First,man,TRUE,0
1,,1,0,51.8625,S,First,woman,FALSE,1
1,50,0,0,10.5,S,Second,woman,TRUE,1
0,,0,0,7.75,Q,Third,man,TRUE,0
0,48,0,0,26.55,S,First,man,TRUE,1
0,34,0,0,8.05,S,Third,man,TRUE,0
0,47,0,0,38.5,S,First,man,TRUE,0
0,48,0,0,13,S,Second,man,TRUE,0
0,,0,0,8.05,S,Third,man,TRUE,0
0,38,0,0,7.05,S,Third,man,TRUE,0
0,,0,0,0,S,Second,man,TRUE,0
0,56,0,0,26.55,S,First,man,TRUE,0
0,,0,0,7.725,Q,Third,man,TRUE,0
1,0.75,2,1,19.2583,C,Third,child,FALSE,1
0,,0,0,7.25,S,Third,man,TRUE,0
0,38,0,0,8.6625,S,Third,man,TRUE,0
1,33,1,2,27.75,S,Second,woman,FALSE,1
1,23,0,0,13.7917,C,Second,woman,TRUE,1
1,22,0,0,9.8375,S,Third,woman,TRUE,0
0,,0,0,52,S,First,man,TRUE,0
0,34,1,0,21,S,Second,man,FALSE,0
0,29,1,0,7.0458,S,Third,man,FALSE,0
0,22,0,0,7.5208,S,Third,man,TRUE,0
1,2,0,1,12.2875,S,Third,child,FALSE,1
0,9,5,2,46.9,S,Third,child,FALSE,0
0,,0,0,0,S,Second,man,TRUE,0
0,50,0,0,8.05,S,Third,man,TRUE,0
1,63,0,0,9.5875,S,Third,woman,TRUE,1
0,25,1,0,91.0792,C,First,man,FALSE,1
1,,3,1,25.4667,S,Third,woman,FALSE,0
1,35,1,0,90,S,First,woman,FALSE,1
0,58,0,0,29.7,C,First,man,TRUE,0
0,30,0,0,8.05,S,Third,man,TRUE,0
0,9,1,1,15.9,S,Third,child,FALSE,1
0,,1,0,19.9667,S,Third,man,FALSE,0
0,21,0,0,7.25,S,Third,man,TRUE,0
0,55,0,0,30.5,S,First,man,TRUE,0
0,71,0,0,49.5042,C,First,man,TRUE,0
0,21,0,0,8.05,S,Third,man,TRUE,0
0,,0,0,14.4583,C,Third,man,TRUE,0
1,54,1,0,78.2667,C,First,woman,FALSE,1
0,,0,0,15.1,S,Third,man,TRUE,0
1,25,1,2,151.55,S,First,woman,FALSE,0
